,product,title,rating,body
608,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Not worth this prices,3,"Three time touching fing then working finger print,one hour use the phone rising heat ,this phone camera equal vivo v17 camera quality but prices v17 low this phone high prices, totally I am unhappy waste mobile, don't"
609,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good mobile,4,
610,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Looking good running very smoothly,5,Very good product camera quality good battery good
611,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good Phone,4,"Eveeything is Fine upto the Mark, except battery draning some how little bit fast."
612,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice,5,Experience was awesome 👍♥️💯
613,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good phone,5,Camera is very nice
614,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good,5,Good
615,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Bad camera quality,5,Everything is good but camera is not goodMy old phone OnePlus 5 better then Nord 2t camera quality
616,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Great phone,5,Happy with the purchase
617,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Quick charge & quick discharge phone,3,All aspects of the phone are good except discharge. Phone is discharging very quickly. Iam a moderate user phone battery doesn't last full day..
618,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice phone with good photo quality,5,Nice quality of pictures
619,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",battery level is not so good,5,battery level is bad else al are good
620,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good,4,Charge and discharge of battery is too fast
621,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Seal issue,4,Do phone comes without seal..?
622,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Touch sensibility is very good but finger print lock not good over all good,4,Finger print lock not like camera good
623,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Exlent mobile,5,"The media could not be loaded.
                



 All Super and exlent mobileI like so much"
624,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Camera quality better,5,You are better phoneCamera quality is very good
625,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Supper se upper,5,Most loved it ❤️
626,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Bettery backup not good,5,Bettery backup not good
627,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",K,4,Good
628,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Phone is as per my expectation,5,Comfortable in hand.Better pictures and videos are took.
629,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Very worthy.,5,Everything is fine.
630,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Ok,5,4+5
631,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best phone,5,"It's been 3 months am using, and it's the best phone. I love it"
632,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",The mobile doesn't have the audio output jack,4,The mobile doesn't have the audio output jack
633,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",A Great product,5,Premium lookFull charge in less than 25minBackup more than 24 hoursGood cameraVery Loud speakerNo bloatwareNeat & clean interfaceRegular updates ..
